Date;#
03/01/2013;98
04/01/2013;20
05/01/2013;132
06/01/2013;9
07/01/2013;165
08/01/2013;88
09/01/2013;19
10/01/2013;117
11/01/2013;113
12/01/2013;30
13/01/2013;0
14/01/2013;139
15/01/2013;79
16/01/2013;78
17/01/2013;58
18/01/2013;51
19/01/2013;0
20/01/2013;0
21/01/2013;144
22/01/2013;72
23/01/2013;83
24/01/2013;95
25/01/2013;90
26/01/2013;0
27/01/2013;0
28/01/2013;217
29/01/2013;113
30/01/2013;116
31/01/2013;157
01/02/2013;182
02/02/2013;0
03/02/2013;0
04/02/2013;139
05/02/2013;115
06/02/2013;0
07/02/2013;135
08/02/2013;96
09/02/2013;147
10/02/2013;126
11/02/2013;13
12/02/2013;128
13/02/2013;79
14/02/2013;83
15/02/2013;70
16/02/2013;0
17/02/2013;0
18/02/2013;167
19/02/2013;102
20/02/2013;101
21/02/2013;92
22/02/2013;89
23/02/2013;0
24/02/2013;0
25/02/2013;157
26/02/2013;105
27/02/2013;95
28/02/2013;83
01/03/2013;141
02/03/2013;0
03/03/2013;0
04/03/2013;145
05/03/2013;110
06/03/2013;131
07/03/2013;156
08/03/2013;33
09/03/2013;139
10/03/2013;114
11/03/2013;28
12/03/2013;90
13/03/2013;36
14/03/2013;118
15/03/2013;81
16/03/2013;21
17/03/2013;20
18/03/2013;165
19/03/2013;142
20/03/2013;79
21/03/2013;99
22/03/2013;87
23/03/2013;25
24/03/2013;18
25/03/2013;112
26/03/2013;89
27/03/2013;96
28/03/2013;113
29/03/2013;97
30/03/2013;22
31/03/2013;9
01/04/2013;154
02/04/2013;165
03/04/2013;140
04/04/2013;100
05/04/2013;16
06/04/2013;185
07/04/2013;111
08/04/2013;29
09/04/2013;130
10/04/2013;107
11/04/2013;160
12/04/2013;90
13/04/2013;34
14/04/2013;24
15/04/2013;165
16/04/2013;144
17/04/2013;113
18/04/2013;138
19/04/2013;110
20/04/2013;19
21/04/2013;26
22/04/2013;149
23/04/2013;109
24/04/2013;99
25/04/2013;117
26/04/2013;77
27/04/2013;18
28/04/2013;20
29/04/2013;79
30/04/2013;16
