source;value
Microphone 4 Level;96
Microphone 4 Level;97
Microphone 2 Level;109
Microphone 4 Level;100
Microphone 4 Level;99
Microphone 4 Level;89
Microphone 1 Level;31
Microphone 1 Level;34
Microphone 1 Level;30
Microphone 1 Level;32
Microphone 1 Level;37
Microphone 5 Level;91
Microphone 5 Level;94
Microphone 5 Level;95
Microphone 5 Level;96
Microphone 5 Level;93
Microphone 5 Level;88
Microphone 5 Level;83
Microphone 5 Level;72
Microphone 5 Level;68
Microphone 5 Level;69
Microphone 5 Level;61
Microphone 5 Level;60
Microphone 5 Level;70
Microphone 5 Level;27
Microphone 5 Level;30
Microphone 5 Level;54
Microphone 5 Level;58
Microphone 5 Level;46
Microphone 5 Level;41
Microphone 5 Level;43
Microphone 5 Level;35
Microphone 5 Level;50
Microphone 4 Level;84
Microphone 4 Level;88
Microphone 4 Level;82
Microphone 4 Level;54
Microphone 4 Level;64
Microphone 4 Level;56
Microphone 4 Level;66
Microphone 4 Level;63
Microphone 4 Level;62
Microphone 4 Level;60
Microphone 4 Level;58
Microphone 4 Level;57
Microphone 4 Level;48
Microphone 4 Level;74
Microphone 4 Level;52
Microphone 4 Level;71
Microphone 4 Level;73
Microphone 4 Level;76
Microphone 4 Level;75
Microphone 4 Level;103
Microphone 4 Level;78
Microphone 4 Level;77
Microphone 4 Level;42
Microphone 4 Level;43
Microphone 4 Level;85
Microphone 2 Level;104
Microphone 2 Level;100
Microphone 1 Level;105
Microphone 1 Level;100
Microphone 1 Level;106
Microphone 1 Level;99
Microphone 1 Level;92
Microphone 2 Level;88
Microphone 1 Level;97
Microphone 1 Level;90
Microphone 5 Level;37
Microphone 1 Level;79
Microphone 1 Level;78
Microphone 2 Level;78
Microphone 2 Level;43
Microphone 2 Level;76
Microphone 2 Level;71
Microphone 1 Level;71
Microphone 2 Level;79
Microphone 2 Level;67
Microphone 2 Level;65
Microphone 1 Level;52
Microphone 2 Level;72
Microphone 2 Level;68
Microphone 1 Level;67
Microphone 1 Level;51
Microphone 2 Level;64
Microphone 2 Level;48
Microphone 1 Level;59
Microphone 2 Level;49
Microphone 2 Level;56
Microphone 2 Level;51
Microphone 2 Level;52
Microphone 1 Level;62
Microphone 2 Level;55
Microphone 2 Level;58
Microphone 2 Level;54
Microphone 1 Level;94
Microphone 1 Level;88
Microphone 1 Level;47
Microphone 1 Level;48
Microphone 1 Level;85
Microphone 4 Level;95
Microphone 4 Level;94
Microphone 4 Level;101
Microphone 5 Level;20
Microphone 1 Level;35
Microphone 5 Level;100
Microphone 5 Level;87
Microphone 5 Level;85
Microphone 5 Level;29
Microphone 5 Level;64
Microphone 5 Level;28
